,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Squad,League
1122,Raúl Chasco,es ESP,DF,21-241,2,1,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Valladolid,La-Liga
1123,Arnau Rafús,es ESP,GK,22-015,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,La-Liga
1124,Mario Maroto,es ESP,MF,21-165,1,0,19.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,4.74,4.74,0.0,4.74,0.0,0.32,0.32,0.0,0.32,Matches,Valladolid,La-Liga
1125,Adrian Baquerin,es ESP,FW,18-069,3,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,La-Liga
1126,Kenedy,br BRA,"MF,FW",29-093,2,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,Valladolid,La-Liga
1127,Sergi Cardona,es ESP,DF,25-308,33,33,2837.0,31.5,1.0,7.0,8.0,1.0,0.0,0.0,11.0,0.0,2.4,2.4,5.8,8.2,51.0,75.0,194.0,0.03,0.22,0.25,0.03,0.25,0.08,0.18,0.26,0.08,0.26,Matches,Villarreal,La-Liga
1128,Santi Comesaña,es ESP,MF,28-219,33,29,2443.0,27.1,3.0,2.0,5.0,3.0,0.0,0.0,7.0,0.0,4.0,4.0,2.0,6.1,38.0,152.0,54.0,0.11,0.07,0.18,0.11,0.18,0.15,0.08,0.22,0.15,0.22,Matches,Villarreal,La-Liga
1129,Alex Baena,es ESP,MF,23-296,29,27,2359.0,26.2,6.0,8.0,14.0,6.0,0.0,1.0,9.0,0.0,6.4,5.6,11.0,16.6,84.0,175.0,143.0,0.23,0.31,0.53,0.23,0.53,0.24,0.42,0.66,0.21,0.63,Matches,Villarreal,La-Liga
1130,Kiko Femenía,es ESP,DF,34-099,28,27,2227.0,24.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,1.3,1.7,52.0,112.0,44.0,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.07,0.01,0.07,Matches,Villarreal,La-Liga
1131,Logan Costa,cv CPV,DF,24-041,29,25,2317.0,25.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.0,25.0,109.0,10.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches,Villarreal,La-Liga
1132,Thierno Barry,fr FRA,FW,22-203,33,24,2188.0,24.3,11.0,3.0,14.0,10.0,1.0,1.0,4.0,0.0,12.2,11.5,2.7,14.2,42.0,27.0,115.0,0.45,0.12,0.58,0.41,0.53,0.5,0.11,0.62,0.47,0.58,Matches,Villarreal,La-Liga
1133,Daniel Parejo,es ESP,MF,36-026,33,24,2137.0,23.7,3.0,3.0,6.0,2.0,1.0,2.0,8.0,0.0,2.4,0.7,1.8,2.5,18.0,172.0,26.0,0.13,0.13,0.25,0.08,0.21,0.1,0.08,0.18,0.03,0.11,Matches,Villarreal,La-Liga
1134,Pape Gueye,sn SEN,MF,26-108,31,24,2027.0,22.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,2.9,2.9,1.0,3.9,35.0,142.0,65.0,0.09,0.0,0.09,0.09,0.09,0.13,0.04,0.17,0.13,0.17,Matches,Villarreal,La-Liga
1135,Yeremi Pino,es ESP,MF,22-204,31,22,1726.0,19.2,3.0,5.0,8.0,3.0,0.0,0.0,10.0,0.0,3.3,3.3,4.7,8.0,38.0,55.0,205.0,0.16,0.26,0.42,0.16,0.42,0.17,0.24,0.42,0.17,0.42,Matches,Villarreal,La-Liga
1136,Diego Conde,es ESP,GK,26-196,21,21,1872.0,20.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,Matches,Villarreal,La-Liga
1137,Ayoze Pérez,es ESP,FW,31-287,28,20,1847.0,20.5,16.0,2.0,18.0,16.0,0.0,0.0,4.0,0.0,12.0,12.0,2.5,14.4,56.0,69.0,117.0,0.78,0.1,0.88,0.78,0.88,0.58,0.12,0.7,0.58,0.7,Matches,Villarreal,La-Liga
1138,Juan Foyth,ar ARG,DF,27-120,17,15,1337.0,14.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.4,2.4,0.3,2.7,13.0,64.0,11.0,0.07,0.0,0.07,0.07,0.07,0.16,0.02,0.18,0.16,0.18,Matches,Villarreal,La-Liga
1139,Luiz Lúcio Reis Júnior,br BRA,GK,24-118,15,14,1278.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Villarreal,La-Liga
1140,Raúl Albiol,es ESP,DF,39-250,15,14,1188.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Villarreal,La-Liga
1141,Nicolas Pépé,ci CIV,"FW,MF",29-348,25,13,1317.0,14.6,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,3.5,3.5,4.1,7.6,65.0,55.0,146.0,0.14,0.34,0.48,0.14,0.48,0.24,0.28,0.52,0.24,0.52,Matches,Villarreal,La-Liga
1142,Willy Kambwala,fr FRA,DF,20-260,16,11,955.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,0.1,0.5,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Villarreal,La-Liga
1143,Eric Bailly,ci CIV,DF,31-030,12,8,617.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.3,0.3,0.0,0.3,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Villarreal,La-Liga
1144,Ilias Akhomach,ma MAR,"MF,FW",21-026,11,7,584.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.0,1.6,30.0,12.0,64.0,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches,Villarreal,La-Liga
1145,Gerard Moreno,es ESP,FW,33-035,15,6,673.0,7.5,3.0,1.0,4.0,0.0,3.0,3.0,0.0,0.0,4.2,1.8,3.0,4.9,14.0,49.0,56.0,0.4,0.13,0.53,0.0,0.13,0.56,0.41,0.97,0.25,0.65,Matches,Villarreal,La-Liga
1146,Denis Suárez,es ESP,MF,31-126,20,6,528.0,5.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,1.4,2.3,24.0,27.0,24.0,0.17,0.17,0.34,0.17,0.34,0.15,0.23,0.39,0.15,0.39,Matches,Villarreal,La-Liga
1147,Pau Navarro,es ESP,DF,20-017,14,5,718.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Villarreal,La-Liga
1148,Tajon Buchanan,ca CAN,MF,26-093,10,3,297.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,0.9,16.0,4.0,32.0,0.0,0.3,0.3,0.0,0.3,0.14,0.14,0.28,0.14,0.28,Matches,Villarreal,La-Liga
1149,Arnaut Danjuma,nl NED,FW,28-101,3,3,200.0,2.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,4.0,1.0,17.0,0.9,0.0,0.9,0.9,0.9,0.37,0.01,0.38,0.37,0.38,Matches,Villarreal,La-Liga
1150,Alfonso Pedraza,es ESP,"DF,MF",29-033,10,2,298.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,1.3,15.0,7.0,34.0,0.0,0.3,0.3,0.0,0.3,0.11,0.29,0.39,0.11,0.39,Matches,Villarreal,La-Liga
1151,Juan Bernat,es ESP,"DF,MF",32-072,10,1,212.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,4.0,8.0,23.0,0.0,0.42,0.42,0.0,0.42,0.12,0.17,0.29,0.12,0.29,Matches,Villarreal,La-Liga
1152,Ramón Terrats,es ESP,"MF,FW",24-206,11,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.22,0.04,0.22,Matches,Villarreal,La-Liga
1153,Pau Cabanes,es ESP,"MF,FW",20-084,10,0,163.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,10.0,11.0,33.0,0.55,0.0,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,Matches,Villarreal,La-Liga
1154,Arnau Solà,es ESP,MF,22-038,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Villarreal,La-Liga
1155,Karl Etta,cm CMR,"FW,MF",21-210,2,0,9.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,3.39,0.0,3.39,3.39,3.39,Matches,Villarreal,La-Liga
1156,Thiago Ojeda,ar ARG,MF,22-120,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Villarreal,La-Liga
1157,Marco Carnesecchi,it ITA,GK,24-315,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Atalanta,Serie-A
1158,Marten de Roon,nl NED,"MF,DF",34-044,34,32,2878.0,32.0,4.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,0.9,0.9,2.2,3.1,36.0,233.0,31.0,0.13,0.09,0.22,0.13,0.22,0.03,0.07,0.1,0.03,0.1,Matches,Atalanta,Serie-A
1159,Éderson,br BRA,MF,25-309,34,31,2745.0,30.5,4.0,1.0,5.0,4.0,0.0,0.0,5.0,1.0,4.0,4.0,4.2,8.2,35.0,203.0,76.0,0.13,0.03,0.16,0.13,0.16,0.13,0.14,0.27,0.13,0.27,Matches,Atalanta,Serie-A
1160,Berat Djimsiti,al ALB,DF,32-082,32,30,2460.0,27.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,2.6,2.6,1.3,3.8,32.0,108.0,41.0,0.04,0.07,0.11,0.04,0.11,0.09,0.05,0.14,0.09,0.14,Matches,Atalanta,Serie-A
1161,Mateo Retegui,it ITA,FW,26-013,33,29,2116.0,23.5,24.0,7.0,31.0,20.0,4.0,5.0,3.0,0.0,17.5,13.5,4.7,18.2,19.0,37.0,174.0,1.02,0.3,1.32,0.85,1.15,0.74,0.2,0.94,0.58,0.78,Matches,Atalanta,Serie-A
1162,Ademola Lookman,ng NGA,"MF,FW",27-204,29,27,2115.0,23.5,14.0,5.0,19.0,13.0,1.0,1.0,4.0,0.0,9.9,9.1,6.5,15.6,133.0,64.0,295.0,0.6,0.21,0.81,0.55,0.77,0.42,0.28,0.7,0.39,0.67,Matches,Atalanta,Serie-A
1163,Isak Hien,se SWE,DF,26-119,29,26,2237.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.1,1.1,7.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Atalanta,Serie-A
1164,Raoul Bellanova,it ITA,DF,24-360,31,25,2215.0,24.6,0.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.2,5.1,79.0,82.0,177.0,0.0,0.33,0.33,0.0,0.33,0.04,0.17,0.21,0.04,0.21,Matches,Atalanta,Serie-A
1165,Davide Zappacosta,it ITA,DF,32-335,28,25,1960.0,21.8,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.1,2.1,2.1,4.3,64.0,102.0,131.0,0.18,0.09,0.28,0.18,0.28,0.1,0.1,0.2,0.1,0.2,Matches,Atalanta,Serie-A
1166,Sead Kolašinac,ba BIH,DF,31-326,23,23,1903.0,21.1,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.8,0.8,1.8,2.6,52.0,142.0,47.0,0.0,0.09,0.09,0.0,0.09,0.04,0.09,0.12,0.04,0.12,Matches,Atalanta,Serie-A
1167,Charles De Ketelaere,be BEL,"MF,FW",24-063,33,23,1896.0,21.1,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,5.7,5.7,5.5,11.2,95.0,120.0,193.0,0.33,0.24,0.57,0.33,0.57,0.27,0.26,0.53,0.27,0.53,Matches,Atalanta,Serie-A
1168,Mario Pašalić,hr CRO,MF,30-092,31,22,1850.0,20.6,3.0,4.0,7.0,3.0,0.0,1.0,1.0,0.0,6.6,5.8,3.2,9.0,44.0,136.0,67.0,0.15,0.19,0.34,0.15,0.34,0.32,0.16,0.48,0.28,0.44,Matches,Atalanta,Serie-A
1169,Matteo Ruggeri,it ITA,DF,22-305,27,17,1597.0,17.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,2.0,2.2,57.0,104.0,101.0,0.0,0.11,0.11,0.0,0.11,0.01,0.11,0.12,0.01,0.12,Matches,Atalanta,Serie-A
1170,Odilon Kossounou,ci CIV,DF,24-128,15,9,855.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6,11.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Atalanta,Serie-A
1171,Marco Brescianini,it ITA,MF,25-112,26,7,861.0,9.6,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,3.1,3.1,0.9,4.0,44.0,29.0,65.0,0.42,0.21,0.63,0.42,0.63,0.32,0.1,0.42,0.32,0.42,Matches,Atalanta,Serie-A
1172,Juan Cuadrado,co COL,"DF,MF",36-351,22,7,813.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,2.0,2.9,40.0,63.0,87.0,0.0,0.22,0.22,0.0,0.22,0.1,0.22,0.32,0.1,0.32,Matches,Atalanta,Serie-A
1173,Lazar Samardzic,rs SRB,"MF,FW",23-077,29,6,1056.0,11.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.9,1.9,1.7,3.6,49.0,85.0,93.0,0.17,0.09,0.26,0.17,0.26,0.16,0.15,0.31,0.16,0.31,Matches,Atalanta,Serie-A
1174,Stefan Posch,at AUT,DF,27-363,4,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Atalanta,Serie-A
1175,Giorgio Scalvini,it ITA,DF,21-152,6,4,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,5.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Atalanta,Serie-A
1176,Rafael Tolói,it ITA,DF,34-214,11,2,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,5.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Atalanta,Serie-A
1177,Rui Patrício,pt POR,GK,37-086,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1178,Ibrahim Sulemana,gh GHA,MF,21-355,6,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1179,Juan Musso,ar ARG,GK,31-006,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1180,Nicolò Zaniolo,it ITA,"FW,MF",25-314,14,0,356.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.5,1.5,7.0,13.0,33.0,0.51,0.51,1.01,0.51,1.01,0.24,0.14,0.37,0.24,0.37,Matches,Atalanta,Serie-A
1181,Daniel Maldini,it ITA,"FW,MF",23-213,7,0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,8.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,Atalanta,Serie-A
1182,Marco Palestra,it ITA,DF,20-070,7,0,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Atalanta,Serie-A
1183,Vanja Vlahović,rs SRB,"FW,MF",21-050,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.38,0.23,0.38,Matches,Atalanta,Serie-A
1184,Ben Godfrey,eng ENG,DF,27-117,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1185,Mitchel Bakker,nl NED,MF,24-326,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1186,Federico Cassa,it ITA,"MF,FW",19-100,2,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atalanta,Serie-A
1187,Alberto Manzoni,it ITA,MF,19-321,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches,Atalanta,Serie-A
1188,Gianluca Scamacca,it ITA,FW,26-131,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,1.29,1.29,1.29,Matches,Atalanta,Serie-A
1189,Remo Freuler,ch SUI,MF,33-027,35,35,3045.0,33.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,1.4,2.7,39.0,195.0,52.0,0.03,0.06,0.09,0.03,0.09,0.04,0.04,0.08,0.04,0.08,Matches,Bologna,Serie-A
1190,Sam Beukema,nl NED,DF,26-176,35,33,3012.0,33.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.9,2.4,27.0,153.0,9.0,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.07,0.04,0.07,Matches,Bologna,Serie-A
1191,Jhon Lucumí,co COL,DF,26-320,30,27,2434.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.6,0.6,0.3,0.9,32.0,96.0,6.0,0.0,0.04,0.04,0.0,0.04,0.02,0.01,0.03,0.02,0.03,Matches,Bologna,Serie-A
1192,Łukasz Skorupski,pl POL,GK,34-007,26,26,2274.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bologna,Serie-A
1193,Santiago Castro,ar ARG,FW,20-225,34,25,2194.0,24.4,8.0,4.0,12.0,8.0,0.0,1.0,7.0,0.0,7.1,6.3,2.9,9.2,15.0,38.0,131.0,0.33,0.16,0.49,0.33,0.49,0.29,0.12,0.41,0.26,0.38,Matches,Bologna,Serie-A
1194,Juan Miranda,es ESP,DF,25-113,30,24,2190.0,24.3,0.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,5.8,6.4,34.0,157.0,86.0,0.0,0.25,0.25,0.0,0.25,0.02,0.24,0.26,0.02,0.26,Matches,Bologna,Serie-A
1195,Dan Ndoye,ch SUI,FW,24-199,28,24,1963.0,21.8,8.0,3.0,11.0,6.0,2.0,2.0,3.0,0.0,6.7,5.1,2.7,7.8,127.0,71.0,212.0,0.37,0.14,0.5,0.28,0.41,0.31,0.12,0.43,0.24,0.36,Matches,Bologna,Serie-A
1196,Jens Odgaard,dk DEN,"MF,FW",26-042,29,24,1952.0,21.7,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,3.6,3.6,1.8,5.4,35.0,50.0,99.0,0.28,0.05,0.32,0.28,0.32,0.17,0.08,0.25,0.17,0.25,Matches,Bologna,Serie-A
1197,Riccardo Orsolini,it ITA,FW,28-108,28,22,1753.0,19.5,13.0,3.0,16.0,10.0,3.0,3.0,1.0,0.0,8.7,6.3,3.6,9.9,57.0,64.0,172.0,0.67,0.15,0.82,0.51,0.67,0.45,0.19,0.63,0.32,0.51,Matches,Bologna,Serie-A
1198,Benjamín Domínguez,ar ARG,FW,21-235,23,16,1246.0,13.8,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.2,2.2,0.5,2.7,49.0,31.0,122.0,0.22,0.14,0.36,0.22,0.36,0.16,0.04,0.19,0.16,0.19,Matches,Bologna,Serie-A
1199,Nikola Moro,hr CRO,MF,27-061,21,15,1197.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,17.0,93.0,21.0,0.0,0.15,0.15,0.0,0.15,0.04,0.06,0.1,0.04,0.1,Matches,Bologna,Serie-A
1200,Tommaso Pobega,it ITA,MF,25-301,20,13,1133.0,12.6,2.0,2.0,4.0,2.0,0.0,0.0,6.0,2.0,2.0,1.9,1.4,3.4,12.0,37.0,23.0,0.16,0.16,0.32,0.16,0.32,0.16,0.11,0.28,0.15,0.27,Matches,Bologna,Serie-A
1201,Lorenzo De Silvestri,it ITA,DF,36-354,17,13,1015.0,11.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,4.0,46.0,29.0,0.09,0.0,0.09,0.09,0.09,0.06,0.02,0.09,0.06,0.09,Matches,Bologna,Serie-A
1202,Thijs Dallinga,nl NED,FW,24-282,30,11,1109.0,12.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.2,4.2,0.6,4.9,9.0,17.0,80.0,0.16,0.16,0.32,0.16,0.32,0.34,0.05,0.39,0.34,0.39,Matches,Bologna,Serie-A
1203,Emil Holm,se SWE,DF,24-364,19,11,1081.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.7,1.3,26.0,47.0,42.0,0.08,0.08,0.17,0.08,0.17,0.05,0.06,0.11,0.05,0.11,Matches,Bologna,Serie-A
1204,Charalambos Lykogiannis,gr GRE,DF,31-202,16,11,974.0,10.8,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.5,1.7,10.0,46.0,30.0,0.0,0.37,0.37,0.0,0.37,0.02,0.14,0.16,0.02,0.16,Matches,Bologna,Serie-A
1205,Federico Ravaglia,it ITA,GK,25-182,11,10,966.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bologna,Serie-A
1206,Giovanni Fabbian,it ITA,MF,22-118,28,8,958.0,10.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.3,2.3,1.2,3.5,13.0,13.0,37.0,0.28,0.09,0.38,0.28,0.38,0.22,0.11,0.33,0.22,0.33,Matches,Bologna,Serie-A
1207,Lewis Ferguson,sct SCO,MF,25-261,14,8,803.0,8.9,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.9,0.1,0.9,1.0,16.0,42.0,19.0,0.11,0.11,0.22,0.0,0.11,0.1,0.1,0.2,0.02,0.11,Matches,Bologna,Serie-A
1208,Michel Aebischer,ch SUI,MF,28-126,13,8,679.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,7.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,Bologna,Serie-A
1209,Nicolò Casale,it ITA,DF,27-087,13,7,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.06,0.01,0.06,Matches,Bologna,Serie-A
1210,Stefan Posch,at AUT,DF,27-363,14,7,714.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,11.0,36.0,35.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches,Bologna,Serie-A
1211,Davide Calabria,it ITA,DF,28-157,9,6,537.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.9,1.0,5.0,36.0,18.0,0.0,0.17,0.17,0.0,0.17,0.01,0.16,0.17,0.01,0.17,Matches,Bologna,Serie-A
